name,id,nametype,recclass,mass,year,reclat,reclong,point_coordinates,year_only
Raoyang,22394,Valid,L6,4910.0,1919-01-01,38.200000,115.700000,"['38.200000', '115.700000']",1919.0
Ras Tanura,22395,Valid,H6,,1961-01-01,26.666670,50.150000,"['26.666670', '50.150000']",1961.0
Rasgrad,22396,Valid,Stone-uncl,24700.0,1740-01-01,43.500000,26.533330,"['43.500000', '26.533330']",1740.0
Ratyn,22398,Valid,Stone-uncl,910.0,1880-01-01,52.200000,17.983330,"['52.200000', '17.983330']",1880.0
Red Canyon Lake,53502,Valid,H5,,2007-01-01,38.137420,-119.758120,"['38.137420', '-119.758120']",2007.0
Reliegos,22584,Valid,L5,17300.0,1947-01-01,42.475000,-5.333330,"['42.475000', '-5.333330']",1947.0
Rembang,22585,Valid,"Iron, IVA",10000.0,1919-01-01,-6.733330,111.366670,"['-6.733330', '111.366670']",1919.0
Renazzo,22586,Valid,CR2,1000.0,1824-01-01,44.766670,11.283330,"['44.766670', '11.283330']",1824.0
Renca,22587,Valid,L5,300.0,1925-01-01,-32.750000,-65.283330,"['-32.750000', '-65.283330']",1925.0
Renqiu,22589,Valid,L6,355.0,1916-01-01,38.666670,116.133330,"['38.666670', '116.133330']",1916.0
Repeev Khutor,22590,Valid,"Iron, IIF",7000.0,1933-01-01,48.600000,45.666670,"['48.600000', '45.666670']",1933.0
Revelstoke,22592,Valid,CI1,1.0,1965-01-01,51.333330,-118.950000,"['51.333330', '-118.950000']",1965.0
Rewari,22593,Valid,L6,3332.0,1929-01-01,28.200000,76.666670,"['28.200000', '76.666670']",1929.0
Rich Mountain,22597,Valid,L6,668.0,1903-01-01,35.033330,-83.033330,"['35.033330', '-83.033330']",1903.0
Uzcudun,24140,Valid,L,20000.0,1948-01-01,-44.116670,-66.150000,"['-44.116670', '-66.150000']",1948.0
Richardton,22599,Valid,H5,90000.0,1918-01-01,46.883330,-102.316670,"['46.883330', '-102.316670']",1918.0
Richland Springs,22602,Valid,OC,1900.0,1980-01-01,31.250000,-99.033330,"['31.250000', '-99.033330']",1980.0
Richmond,22603,Valid,LL5,1800.0,1828-01-01,37.466670,-77.500000,"['37.466670', '-77.500000']",1828.0
Rio Negro,22611,Valid,L4,1310.0,1934-01-01,-26.100000,-49.800000,"['-26.100000', '-49.800000']",1934.0
Rivolta de Bassi,22614,Valid,Stone-uncl,,,45.483330,9.516670,"['45.483330', '9.516670']",
Rochester,22637,Valid,H6,340.0,1876-01-01,41.083330,-86.283330,"['41.083330', '-86.283330']",1876.0
Rockhampton,22640,Valid,Stone-uncl,1641.0,1895-01-01,-23.383330,150.516670,"['-23.383330', '150.516670']",1895.0
Roda,22641,Valid,Diogenite,400.0,1871-01-01,42.300000,0.550000,"['42.300000', '0.550000']",1871.0
Rodach,22642,Valid,Stone-uncl,2900.0,1775-01-01,50.350000,10.800000,"['50.350000', '10.800000']",1775.0
Rose City,22766,Valid,H5,10600.0,1921-01-01,44.516670,-83.950000,"['44.516670', '-83.950000']",1921.0
Rowton,22773,Valid,"Iron, IIIAB",3500.0,1876-01-01,52.766670,-2.516670,"['52.766670', '-2.516670']",1876.0
Ruhobobo,22780,Valid,L6,,1976-01-01,-1.450000,29.833330,"['-1.450000', '29.833330']",1976.0
Rumuruti,22782,Valid,R3.8-6,67.0,1934-01-01,0.266670,36.533330,"['0.266670', '36.533330']",1934.0
Rupota,22783,Valid,L4-6,6000.0,1949-01-01,-10.266670,38.766670,"['-10.266670', '38.766670']",1949.0
Ryechki,22791,Valid,L5,13000.0,1914-01-01,51.133330,34.500000,"['51.133330', '34.500000']",1914.0
Sabetmahet,22792,Valid,H5,1250.0,1855-01-01,27.433330,82.083330,"['27.433330', '82.083330']",1855.0
Sabrum,22793,Valid,LL6,478.0,1999-01-01,23.083330,91.666670,"['23.083330', '91.666670']",1999.0
Sagan,22796,Valid,Stone-uncl,,,51.533330,14.883330,"['51.533330', '14.883330']",
Saint-Sauveur,23101,Valid,EH5,14000.0,1914-01-01,43.733330,1.383330,"['43.733330', '1.383330']",1914.0
